zone_id,lat,lng,slope_deg,rainfall_24h_mm,rainfall_72h_mm,soil_moisture_pct,distance_to_fault_km,past_landslide
synthetic_037,23.1405,90.0558,18.7,86.3,217.0,80.5,1.89,1
synthetic_038,24.1913,94.6205,9.4,71.8,180.2,53.1,6.84,0
synthetic_039,27.1404,90.8119,35.8,50.0,113.1,87.8,1.9,1
synthetic_040,23.6231,95.5072,24.8,14.3,37.3,33.0,5.3,0
synthetic_041,24.3608,95.2334,10.5,51.7,110.1,80.8,7.12,0
synthetic_042,24.6604,93.2856,27.3,50.0,124.0,74.4,1.16,1
synthetic_043,24.697,94.4717,6.5,21.5,54.0,74.0,5.72,0
synthetic_044,25.5647,91.7005,45.9,46.2,120.3,79.1,2.64,1
synthetic_045,27.2154,92.7982,16.6,42.9,92.6,73.3,9.63,0
synthetic_046,23.7035,95.2515,34.8,63.5,175.2,63.8,4.89,1
synthetic_047,23.1075,92.7149,19.0,65.3,167.4,29.2,8.08,0
synthetic_048,23.4874,92.0046,28.4,9.3,33.5,22.3,5.55,0
synthetic_049,26.9346,92.9595,29.6,40.6,122.4,84.5,0.53,1
synthetic_050,25.7291,95.2977,13.3,64.5,169.6,63.2,6.37,0
synthetic_051,23.9295,91.8465,48.6,52.8,121.8,75.8,9.52,0
synthetic_052,26.5797,90.7163,39.9,86.4,230.5,53.7,6.06,1
synthetic_053,26.8068,94.4841,47.3,67.6,174.0,28.2,8.21,1
synthetic_054,26.7326,95.2818,45.3,20.5,65.6,28.8,8.85,1
synthetic_055,27.0946,90.2045,31.9,11.7,28.2,68.0,2.36,0
synthetic_056,23.7612,91.1791,46.5,66.0,149.6,50.1,2.2,1
synthetic_057,26.2752,90.4938,9.0,7.5,18.6,34.0,6.15,0
synthetic_058,24.8027,91.9356,13.8,60.6,141.9,54.4,4.17,0
synthetic_059,26.71,92.6525,7.0,94.3,249.5,24.5,8.41,1
synthetic_060,26.1425,94.7418,19.6,59.7,163.4,60.7,9.01,0
synthetic_061,26.3822,94.058,22.5,41.9,95.8,38.8,3.6,0
synthetic_062,25.7808,93.8465,17.2,66.1,199.6,75.8,2.45,1
synthetic_063,23.3871,91.9666,42.3,48.5,125.1,41.7,7.83,1
synthetic_064,25.2251,95.3901,21.1,56.8,133.5,51.9,2.82,0
synthetic_065,27.4233,92.799,17.6,94.4,211.1,20.8,8.24,0
synthetic_066,27.1869,96.3537,29.4,41.7,94.0,25.1,4.3,0
synthetic_067,22.7159,93.939,11.3,96.3,235.2,47.5,6.71,0
synthetic_068,23.3241,90.3839,41.1,91.0,207.8,53.6,1.05,1
synthetic_069,23.1586,94.2332,8.4,23.6,56.8,62.0,6.28,0
synthetic_070,26.1299,91.7757,49.4,11.6,27.7,40.4,4.57,0
synthetic_071,26.5889,94.3043,39.8,14.6,37.4,68.6,5.91,1
synthetic_072,23.5676,89.9875,13.9,6.7,28.3,80.2,1.76,0
synthetic_073,25.0293,90.7242,5.2,14.0,36.4,74.6,7.4,0
synthetic_074,26.7035,95.4902,41.7,69.9,177.4,22.8,8.64,0
synthetic_075,26.164,91.0903,36.8,11.8,20.5,53.6,2.25,0
synthetic_076,25.2112,95.3593,37.8,35.3,100.6,27.3,1.05,1
synthetic_077,25.4517,91.4549,39.7,85.3,197.2,36.9,0.33,1
synthetic_078,25.0418,94.0002,8.3,7.2,10.0,89.1,6.46,0
synthetic_079,23.9877,94.3591,21.1,82.4,245.1,30.0,6.11,0
synthetic_080,25.3251,93.0886,10.2,31.8,93.9,54.9,5.51,0
synthetic_081,25.9444,91.6372,43.8,16.2,42.9,63.3,2.4,0
synthetic_082,26.8666,90.9885,33.0,71.2,176.7,69.2,3.97,1
synthetic_083,25.6815,89.7323,19.9,64.7,143.3,59.2,5.99,1
synthetic_084,26.3056,91.6276,7.9,88.4,233.3,20.7,5.02,0
synthetic_085,23.3004,94.0721,19.0,74.8,224.7,42.9,9.88,0
synthetic_086,24.8078,96.0681,19.6,81.3,215.0,56.2,1.45,1
synthetic_087,22.5467,95.5984,37.8,31.8,88.3,26.2,6.98,0
synthetic_088,23.7334,94.8625,33.7,21.9,51.8,44.5,4.1,0
synthetic_089,26.1323,95.0191,44.9,76.3,209.8,22.3,4.34,1
synthetic_090,27.459,94.1549,26.2,81.6,198.1,25.5,7.2,0
synthetic_091,22.9959,91.322,10.4,99.1,249.7,47.8,6.96,0
synthetic_092,24.5075,95.8504,37.1,44.2,116.2,29.3,9.91,0
synthetic_093,26.5004,94.1951,39.2,40.3,100.5,59.7,1.37,1
synthetic_094,23.5202,93.4231,30.3,78.8,190.4,68.3,1.13,1
synthetic_095,25.2754,90.2769,39.7,37.4,82.9,76.0,7.27,1
synthetic_096,26.1654,92.6294,27.2,93.4,242.9,34.0,5.83,0
synthetic_097,25.5799,92.7225,28.5,86.5,218.6,31.7,2.81,1
synthetic_098,23.4401,95.5519,24.2,45.8,114.8,27.3,0.89,0
synthetic_099,24.2769,93.3265,6.1,76.3,186.3,64.6,0.95,0
synthetic_100,26.419,92.1628,9.9,76.7,197.2,69.5,8.95,0
synthetic_101,25.2711,96.3376,6.4,14.8,32.6,22.2,2.0,0
synthetic_102,22.5261,90.275,33.6,90.7,204.1,85.5,3.3,1
synthetic_103,26.305,92.4578,19.1,53.0,138.3,23.6,2.34,0
synthetic_104,22.6766,89.7942,27.9,83.5,197.3,57.9,3.61,1
synthetic_105,26.2287,94.6793,45.8,35.4,85.8,69.6,0.79,1
synthetic_106,23.5124,95.9265,16.2,90.1,272.8,81.0,5.24,0
synthetic_107,27.2904,91.4603,23.5,42.0,107.1,70.0,0.77,0
synthetic_108,24.3397,95.5084,39.0,6.0,24.1,76.1,8.02,1
synthetic_109,24.1347,91.5455,15.3,91.0,213.7,43.8,2.41,1
synthetic_110,23.2444,95.8754,8.5,13.7,37.4,77.0,5.45,0
synthetic_111,24.028,94.7777,18.0,35.3,93.6,25.6,8.81,0
synthetic_112,26.8833,95.1343,12.3,95.3,264.8,82.6,6.54,1
synthetic_113,27.4817,89.626,46.8,95.3,254.5,58.3,5.38,1
synthetic_114,24.3415,96.2397,41.4,59.5,141.3,77.2,3.31,1
synthetic_115,24.7431,94.5867,33.5,65.0,165.3,51.7,3.4,1
synthetic_116,26.1104,91.6333,44.2,47.6,148.6,65.1,6.73,1
synthetic_117,26.931,95.3058,41.2,32.9,87.9,56.8,9.94,1
synthetic_118,25.4652,91.4706,13.4,36.2,108.9,71.2,6.65,0
synthetic_119,24.4576,95.6093,45.2,68.9,166.7,25.7,5.62,1
synthetic_120,24.5631,90.2881,29.3,76.5,203.7,24.2,7.33,1
synthetic_121,25.9781,94.4258,41.3,80.2,240.6,37.3,4.71,1
synthetic_122,22.5161,93.2849,45.3,80.0,183.5,31.2,0.7,1
synthetic_123,25.5979,90.1757,19.3,13.7,39.4,81.0,5.67,0
synthetic_124,24.2775,91.1933,10.0,52.0,154.7,35.3,9.58,0
synthetic_125,26.471,89.5868,15.3,10.5,36.8,88.3,1.84,0
synthetic_126,22.965,92.7814,24.2,57.2,163.8,43.6,6.93,0
synthetic_127,25.441,91.6089,41.8,46.9,115.7,32.7,2.09,0
synthetic_128,24.9049,93.6885,43.7,89.3,260.2,75.3,5.4,1
synthetic_129,25.7116,91.5807,5.3,38.3,86.8,66.1,1.06,0
synthetic_130,22.8243,91.5994,28.0,16.1,44.1,54.9,4.56,0
synthetic_131,25.3999,94.7024,23.8,18.6,34.1,58.9,7.59,0
synthetic_132,25.3074,89.837,15.0,77.3,222.4,70.3,3.54,0
synthetic_133,25.3033,95.8203,10.4,63.7,168.6,36.0,6.68,0
synthetic_134,25.5174,95.4658,20.2,14.6,30.6,89.7,7.97,0
synthetic_135,25.8823,94.1746,47.4,13.0,23.9,88.2,9.28,0
synthetic_136,26.5249,93.6526,19.5,71.6,211.7,65.5,2.42,0
synthetic_137,23.8491,95.7461,28.3,11.9,26.7,34.0,4.05,0
synthetic_138,26.6252,90.7973,36.6,83.1,241.6,67.6,1.61,1
synthetic_139,24.9913,90.0528,21.4,72.1,175.3,25.1,9.93,0
synthetic_140,22.8853,91.1766,48.7,12.7,28.1,22.1,9.28,0
synthetic_141,22.7928,95.062,48.3,13.1,34.5,38.0,5.45,0
synthetic_142,24.1712,89.7427,16.3,98.7,246.8,52.4,8.44,0
synthetic_143,26.4245,93.5796,27.4,40.6,110.0,80.8,5.26,1
synthetic_144,26.0384,96.4681,18.5,40.2,107.1,70.9,6.27,0
synthetic_145,26.4431,95.4899,17.8,82.2,203.8,72.0,0.98,1
synthetic_146,25.0863,93.1501,6.7,95.0,279.7,49.8,7.58,0
synthetic_147,24.701,89.9455,32.4,98.7,242.1,44.2,1.36,1
synthetic_148,23.2373,95.3196,27.6,76.6,192.3,46.0,8.28,0
synthetic_149,24.141,93.6928,7.3,40.7,126.5,89.1,7.84,0
synthetic_150,24.6701,90.3045,17.5,12.9,25.2,22.8,7.12,0
synthetic_151,22.943,90.157,45.9,78.8,188.2,80.7,0.46,1
synthetic_152,23.6031,95.8674,15.8,58.0,171.8,60.5,3.1,1
synthetic_153,25.4911,94.1844,11.5,45.3,131.2,50.7,2.7,0
synthetic_154,26.1783,95.305,27.0,91.1,230.8,70.8,3.67,1
synthetic_155,27.4917,95.6529,49.4,15.6,46.0,54.1,0.97,1
synthetic_156,27.1656,93.5024,15.9,51.8,143.9,81.1,9.38,0
synthetic_157,25.7128,93.1221,35.2,6.1,21.8,83.0,5.58,1
synthetic_158,24.6062,92.513,39.3,49.5,128.1,49.5,3.12,1
synthetic_159,25.6809,91.7186,15.7,10.3,29.6,39.4,4.03,0
synthetic_160,26.4283,92.5422,37.8,16.3,48.7,61.5,4.53,1
synthetic_161,23.0917,94.9172,21.6,16.2,45.1,83.9,6.05,0
synthetic_162,24.5495,93.7135,33.5,66.7,173.1,34.7,5.21,0
synthetic_163,26.699,95.7477,33.5,75.9,187.4,63.6,9.2,1
synthetic_164,24.4192,92.6037,29.1,60.4,167.2,64.2,5.02,0
synthetic_165,25.3594,93.7496,9.1,96.4,213.1,71.3,9.92,0
synthetic_166,25.4388,93.9192,42.6,40.6,112.6,29.2,8.53,0
synthetic_167,23.4224,93.6419,19.4,32.1,85.0,70.1,2.16,0
synthetic_168,24.3112,94.4184,13.4,87.5,246.1,83.6,9.31,1
synthetic_169,24.1726,91.162,6.8,26.2,61.9,32.6,1.25,0
synthetic_170,22.631,93.0865,31.6,96.5,271.4,36.6,8.19,1
synthetic_171,22.621,90.2296,35.5,6.2,10.1,88.0,3.87,1
synthetic_172,26.6585,92.1916,5.7,97.1,274.0,32.7,8.79,0
synthetic_173,23.8654,92.9137,28.0,9.1,11.8,79.8,8.69,0
synthetic_174,25.0904,94.0656,15.2,89.7,216.2,54.5,8.08,0
synthetic_175,23.9936,96.1537,34.0,55.1,166.1,37.3,7.92,1
synthetic_176,27.2034,93.7046,12.8,99.3,228.9,81.0,3.12,1
synthetic_177,23.7965,94.7052,36.1,12.0,26.3,51.2,0.9,0
synthetic_178,24.6483,93.0439,22.4,57.6,163.6,56.0,4.09,0
synthetic_179,26.8637,93.9387,47.2,97.1,263.9,45.1,1.82,1
synthetic_180,26.7097,89.9965,11.2,54.7,157.4,61.5,6.98,0
synthetic_181,23.4305,91.2807,20.3,64.8,184.3,31.4,3.53,0
synthetic_182,26.5132,92.033,10.1,71.1,179.1,47.4,9.76,0
synthetic_183,24.7909,92.8075,46.6,48.2,114.1,87.9,6.45,1
synthetic_184,24.9148,89.8195,44.5,64.6,167.6,38.1,8.24,1
synthetic_185,23.1674,90.4802,16.6,60.5,150.8,66.0,1.41,1
synthetic_186,22.903,91.4377,34.7,90.6,264.5,42.8,8.63,1
synthetic_187,26.1397,96.3007,41.8,9.3,27.1,74.1,9.24,1
synthetic_188,24.9823,91.8194,30.0,31.7,73.2,29.2,4.92,0
synthetic_189,24.6843,92.8743,28.8,95.3,254.7,87.9,6.1,1
synthetic_190,26.1475,90.8727,15.9,89.6,259.7,51.8,7.67,0
synthetic_191,26.3276,93.7755,9.2,48.3,121.0,36.5,1.83,0
synthetic_192,23.2945,91.4648,45.4,63.9,173.5,25.1,5.08,1
synthetic_193,25.5511,90.9489,45.5,31.4,83.9,31.9,4.05,1
synthetic_194,23.1768,93.116,33.5,22.9,61.8,56.4,1.55,1
synthetic_195,26.2569,89.5385,20.3,49.1,103.3,43.6,3.74,1
synthetic_196,25.7848,89.5536,20.7,38.6,105.4,78.0,0.77,1
synthetic_197,27.2831,91.0335,37.7,60.4,172.3,50.2,0.36,1
synthetic_198,22.8448,89.757,45.4,12.4,26.6,37.4,1.44,1
synthetic_199,22.7853,90.2562,44.9,97.6,274.7,63.2,9.63,1
synthetic_200,23.9109,91.872,40.1,98.7,287.0,69.5,5.54,1
synthetic_201,23.8085,95.1181,33.9,71.3,188.4,31.7,9.66,1
synthetic_202,23.7349,93.5043,8.8,55.9,139.2,31.7,4.38,0
synthetic_203,27.0313,93.0887,12.3,34.4,99.2,22.6,3.19,0
synthetic_204,23.7477,91.5544,45.4,82.3,229.6,71.5,5.11,1
synthetic_205,23.8597,96.0223,32.3,70.0,187.6,66.5,4.45,1
synthetic_206,26.297,92.2791,5.4,20.4,50.4,53.2,1.15,0
synthetic_207,24.7487,90.1096,9.6,91.5,267.6,79.1,6.44,0
synthetic_208,26.3836,93.8195,34.9,83.1,249.5,76.4,2.24,1
synthetic_209,22.8268,90.2969,5.2,95.2,247.7,61.0,6.23,0
synthetic_210,24.9379,91.9166,12.2,73.9,162.4,80.8,6.54,0
synthetic_211,22.6681,93.0519,29.7,63.3,195.4,34.4,1.61,0
synthetic_212,22.8133,95.6196,36.1,44.7,122.8,27.8,0.71,1
synthetic_213,27.0322,92.9548,34.3,93.6,209.7,38.9,7.83,1
synthetic_214,23.1962,94.4158,15.1,87.3,257.1,24.0,4.65,1
synthetic_215,25.1621,96.4497,37.0,9.3,28.8,57.2,0.68,1
synthetic_216,24.5555,90.4204,15.7,7.5,21.2,85.6,9.95,0
synthetic_217,24.2367,91.4231,19.6,40.8,100.9,22.8,0.67,0
synthetic_218,26.9992,92.262,38.6,82.0,214.1,28.5,6.98,0
synthetic_219,22.6091,92.4528,34.2,98.8,217.0,51.7,9.84,1
synthetic_220,25.8189,92.3771,43.2,19.3,40.2,85.4,2.47,1
synthetic_221,27.317,95.8533,34.6,61.4,182.3,42.1,1.51,1
synthetic_222,25.3008,94.4982,30.6,41.2,99.9,55.5,1.3,0
synthetic_223,27.1841,93.7553,9.2,97.1,246.8,22.9,3.1,0
synthetic_224,22.7613,91.6656,21.5,85.0,220.3,30.4,1.1,1
synthetic_225,24.594,95.2665,16.9,84.6,225.6,89.1,6.95,1
synthetic_226,23.8008,96.1854,16.0,49.5,146.3,87.6,0.72,0
synthetic_227,26.1541,95.2484,48.8,44.4,101.7,20.3,5.14,0
synthetic_228,27.4065,89.511,22.7,31.0,75.0,86.6,9.97,1
synthetic_229,23.7827,93.9548,45.1,10.4,26.5,64.7,8.16,0
synthetic_230,25.7709,89.8579,33.4,87.1,218.3,80.8,6.19,1
synthetic_231,23.4905,91.3033,40.8,82.2,200.1,51.8,3.13,1
synthetic_232,25.3267,89.9167,27.6,100.0,256.1,56.1,6.28,1
synthetic_233,24.8197,93.7266,31.0,99.7,222.2,54.2,5.32,1
synthetic_234,27.36,94.3061,27.2,57.8,129.7,66.7,4.32,1
synthetic_235,25.5426,90.3014,13.8,78.1,206.6,29.8,1.39,0
synthetic_236,24.2475,92.1869,37.5,94.8,231.9,22.1,8.88,1
synthetic_237,23.0705,92.6937,17.6,85.7,258.3,41.6,4.55,0
synthetic_238,23.2562,92.0834,6.1,28.5,70.9,69.3,2.03,0
synthetic_239,23.6266,90.3472,34.0,47.8,127.0,34.1,3.74,1
synthetic_240,23.7548,92.4326,13.0,17.3,48.7,67.1,4.2,0
synthetic_241,26.7531,94.7582,47.3,95.6,217.8,87.9,8.29,1
synthetic_242,25.3061,89.9971,47.9,62.6,167.9,26.6,7.36,0
synthetic_243,25.117,90.0613,46.2,26.7,66.1,67.1,7.72,0
synthetic_244,23.0738,91.9834,21.7,68.8,205.6,51.1,0.21,1
synthetic_245,26.8007,96.0921,5.7,63.7,143.1,80.8,4.22,1
synthetic_246,26.1141,94.18,46.8,39.0,106.3,32.4,4.87,1
synthetic_247,22.8383,94.2507,24.3,15.8,41.8,68.5,0.29,0
synthetic_248,26.0392,92.0334,48.5,68.8,209.4,78.7,2.67,1
synthetic_249,25.2177,93.6556,48.4,54.4,148.5,86.1,7.63,1
synthetic_250,22.9086,89.5709,43.4,78.4,217.2,67.8,1.46,1
synthetic_251,24.7915,93.9527,18.3,54.4,126.8,54.8,5.4,0
synthetic_252,24.9235,95.893,22.3,86.0,247.5,63.2,2.23,1
synthetic_253,23.3289,93.788,43.3,57.4,139.9,80.8,0.22,1
synthetic_254,27.2285,95.6159,19.3,58.3,173.7,59.9,2.49,1
synthetic_255,26.7499,94.5678,12.6,88.3,211.1,22.1,9.76,0
synthetic_256,25.8451,90.3439,30.1,43.3,106.9,85.2,8.04,1
synthetic_257,24.8115,95.8172,47.1,17.7,32.6,68.3,9.6,1
synthetic_258,24.5588,89.9651,36.3,7.7,27.5,67.4,4.93,1
synthetic_259,25.7549,93.2378,30.7,76.7,210.8,35.1,1.19,1
synthetic_260,25.2272,90.495,9.4,63.9,134.5,66.1,5.52,0
synthetic_261,22.8114,89.5819,32.7,71.9,209.3,47.6,4.6,1
synthetic_262,25.0625,92.4542,49.6,25.2,57.2,65.6,8.46,1
synthetic_263,26.532,91.5653,11.3,18.0,43.9,27.5,1.07,0
synthetic_264,24.7962,92.902,28.3,6.4,21.2,66.0,4.93,0
synthetic_265,22.7598,93.5404,44.5,38.3,89.8,90.0,1.59,1
synthetic_266,26.4314,89.8062,38.3,61.0,167.9,23.4,3.31,1
synthetic_267,23.5068,90.361,36.4,42.3,105.0,88.4,7.4,1
synthetic_268,23.7931,93.4105,36.6,46.6,109.5,48.5,4.81,1
synthetic_269,23.3235,91.9022,21.2,90.9,252.8,81.0,3.82,1
synthetic_270,24.1511,94.6042,18.2,38.1,108.4,74.8,4.01,1
synthetic_271,26.2838,94.066,41.4,53.8,136.8,59.7,4.65,0
synthetic_272,25.0969,95.4192,41.5,79.4,201.5,71.7,7.87,1
synthetic_273,23.5244,94.3474,44.0,42.7,118.6,81.5,8.93,1
synthetic_274,26.8892,92.5095,46.1,64.1,157.2,48.3,9.56,0
synthetic_275,26.8979,94.2108,28.0,86.9,195.6,42.9,7.89,0
synthetic_276,26.8529,91.4277,27.6,95.2,222.1,66.7,3.22,1
synthetic_277,23.694,91.6442,40.9,19.0,58.3,76.5,6.91,1
synthetic_278,24.7562,95.0229,34.2,93.0,245.8,73.4,4.43,1
synthetic_279,27.4249,92.6249,36.6,51.8,120.3,75.8,2.62,1
synthetic_280,26.3601,95.0887,40.8,29.5,71.0,50.5,8.42,0
synthetic_281,22.6358,95.257,45.1,48.6,125.2,77.2,0.48,1
synthetic_282,22.826,95.5029,20.2,98.1,265.4,28.4,9.03,0
synthetic_283,24.8197,95.9164,21.9,51.8,117.4,58.1,4.67,1
synthetic_284,27.0461,92.5169,9.2,36.2,91.3,20.4,6.41,0
synthetic_285,25.1935,91.7321,31.0,65.2,177.2,42.7,6.63,0
synthetic_286,24.9891,93.5754,6.6,27.8,73.9,45.7,8.96,0
synthetic_287,23.0274,92.0982,26.0,12.2,37.0,47.7,6.4,0
synthetic_288,25.7839,93.7075,29.4,17.2,32.5,68.7,6.18,1
synthetic_289,26.6105,94.4391,17.9,17.2,35.2,47.2,0.76,1
synthetic_290,24.4021,94.3188,31.6,19.4,50.6,51.4,5.23,0
synthetic_291,26.3781,92.1219,6.4,18.2,41.9,36.6,1.59,0
synthetic_292,27.3224,90.668,6.7,65.9,191.7,46.1,7.4,0
synthetic_293,23.5188,92.5137,42.0,22.3,60.8,35.9,5.17,0
synthetic_294,25.1166,90.4982,21.2,37.8,97.6,25.1,6.83,0
synthetic_295,23.9357,95.7307,10.7,90.2,237.6,62.2,0.51,1
synthetic_296,26.4643,91.9211,28.5,50.0,125.6,66.8,0.94,1
synthetic_297,25.388,90.5812,39.6,68.4,176.0,63.4,7.19,1
synthetic_298,25.6729,89.6781,14.7,21.4,71.8,52.4,0.81,0
synthetic_299,26.4896,94.0208,33.0,23.3,56.5,46.6,0.81,0
synthetic_300,24.4799,93.9583,8.8,8.9,12.8,80.4,0.22,1
